iter	Passed	Remaining
467	692	787
468	693	784
469	693	782
470	694	780
471	695	777
472	695	775
473	696	772
474	697	770
475	697	768
476	698	765
477	699	763
478	700	761
479	700	759
480	701	757
481	702	754
482	703	752
483	703	750
484	704	748
485	705	745
486	705	743
487	706	741
488	707	738
489	707	736
490	708	734
491	709	732
492	709	730
493	710	727
494	711	725
495	711	723
496	712	720
497	712	718
498	713	716
499	714	714
500	715	712
501	715	710
502	716	708
503	717	705
504	717	703
505	718	701
506	719	699
507	719	696
508	720	694
509	720	692
510	721	690
511	722	688
512	723	686
513	724	684
514	724	682
515	725	680
516	725	678
517	726	675
518	727	673
519	727	671
520	728	670
521	729	668
522	730	666
523	731	664
524	732	662
525	732	660
526	733	658
527	734	656
528	734	654
529	735	652
530	736	650
531	737	648
532	737	646
533	738	644
534	738	642
535	739	640
536	740	638
537	741	636
538	741	634
539	742	632
540	743	630
541	744	628
542	744	626
543	745	625
544	746	623
545	747	621
546	748	619
547	748	617
548	749	615
549	750	613
550	750	611
551	751	609
552	752	607
553	753	606
554	753	604
555	754	602
556	754	600
557	755	598
558	756	596
559	756	594
560	757	592
561	758	590
562	759	589
563	760	587
564	761	585
565	761	584
566	762	582
567	763	580
568	763	578
569	764	576
570	765	574
571	765	573
572	766	571
573	767	569
574	767	567
575	768	565
576	769	563
577	769	561
578	770	560
579	771	558
580	772	556
581	772	555
582	773	553
583	774	551
584	775	550
585	776	548
586	777	546
587	777	545
588	778	543
589	779	541
590	779	539
591	780	538
592	781	536
593	781	534
594	782	532
595	783	531
596	784	529
597	784	527
598	785	526
599	786	524
600	787	522
601	788	521
602	789	519
603	790	518
604	791	516
605	792	514
606	792	513
607	793	511
608	794	509
609	794	508
610	795	506
611	796	504
612	796	503
613	797	501
614	798	499
615	798	498
616	799	496
617	800	494
618	800	492
619	801	491
620	803	490
621	804	488
622	805	487
623	806	485
624	806	484
625	807	482
626	807	480
627	808	479
628	809	477
629	810	475
630	810	474
631	811	472
632	811	470
633	812	469
634	813	467
635	814	466
636	815	464
637	815	462
638	816	461
639	817	459
640	818	458
641	819	457
642	820	455
643	821	454
644	822	452
645	822	450
646	823	449
647	824	448
648	825	446
649	826	445
650	827	443
651	828	442
652	829	440
653	829	439
654	830	437
655	831	436
656	832	434
657	833	433
658	834	431
659	835	430
660	836	429
661	837	427
662	837	425
663	839	424
664	840	423
665	840	421
666	841	420
667	842	418
668	842	417
669	843	415
670	844	413
671	845	412
672	846	411
673	847	409
674	848	408
675	849	407
676	850	405
677	851	404
678	852	403
679	853	401
680	854	400
681	855	398
682	856	397
683	857	396
684	858	394
685	859	393
686	860	391
687	860	390
688	861	388
689	862	387
690	863	386
691	864	384
692	865	383
693	866	382
694	867	380
695	868	379
696	869	378
697	870	376
698	871	375
699	872	373
700	872	372
701	873	370
702	874	369
703	875	368
704	877	367
705	878	365
706	879	364
707	879	362
708	880	361
709	881	359
710	882	358
711	882	357
712	883	355
713	884	354
714	884	352
715	885	351
716	886	349
717	886	348
718	887	346
719	888	345
720	889	344
721	889	342
722	890	341
723	891	339
724	891	338
725	892	336
726	893	335
727	894	334
728	894	332
729	895	331
730	896	329
731	897	328
732	897	326
733	898	325
734	898	324
735	899	322
736	900	321
737	901	319
738	901	318
739	902	317
740	903	315
741	903	314
742	904	312
743	905	311
744	905	310
745	906	308
746	908	307
747	908	306
748	909	304
749	910	303
750	911	302
751	912	300
752	913	299
753	914	298
754	914	296
755	915	295
756	916	294
757	916	292
758	917	291
759	918	289
760	918	288
761	919	287
762	920	285
763	921	284
764	921	283
765	922	281
766	924	280
767	924	279
768	925	278
769	926	276
770	926	275
771	927	273
772	928	272
773	928	271
774	929	269
775	930	268
776	930	267
777	931	265
778	931	264
779	932	263
780	933	261
781	933	260
782	934	258
783	935	257
784	935	256
785	936	255
786	937	253
787	938	252
788	939	251
789	940	249
790	940	248
791	941	247
792	941	245
793	942	244
794	943	243
795	943	241
796	944	240
797	945	239
798	946	237
799	946	236
800	947	235
801	947	233
802	948	232
803	948	231
804	949	230
805	950	228
806	951	227
807	952	226
808	953	225
809	953	223
810	954	222
811	954	221
812	955	219
813	956	218
814	957	217
815	957	215
816	958	214
817	959	213
818	959	212
819	960	210
820	961	209
821	961	208
822	962	206
823	963	205
824	963	204
825	964	203
826	965	201
827	965	200
828	966	199
829	967	198
830	968	196
831	969	195
832	970	194
833	971	193
834	971	192
835	972	190
836	973	189
837	973	188
838	974	187
839	975	185
840	976	184
841	977	183
842	977	182
843	978	180
844	979	179
845	979	178
846	980	177
847	981	175
848	982	174
849	983	173
850	984	172
851	985	171
852	986	169
853	987	168
854	988	167
855	989	166
856	989	165
857	990	163
858	991	162
859	992	161
860	993	160
861	994	159
862	995	157
863	996	156
864	997	155
865	998	154
866	998	153
867	999	152
868	1000	150
869	1001	149
870	1002	148
871	1003	147
872	1004	146
873	1004	144
874	1005	143
875	1006	142
876	1007	141
877	1007	140
878	1008	138
879	1009	137
880	1009	136
881	1010	135
882	1012	134
883	1013	132
884	1014	131
885	1015	130
886	1016	129
887	1017	128
888	1018	127
889	1019	125
890	1020	124
891	1021	123
892	1022	122
893	1023	121
894	1023	120
895	1025	118
896	1026	117
897	1027	116
898	1028	115
899	1028	114
900	1029	113
901	1030	111
902	1030	110
903	1031	109
904	1032	108
905	1032	107
906	1033	105
907	1034	104
908	1034	103
909	1035	102
910	1036	101
911	1037	100
912	1037	98
913	1038	97
914	1039	96
915	1040	95
916	1041	94
917	1043	93
918	1043	91
919	1044	90
920	1045	89
921	1046	88
922	1046	87
923	1047	86
924	1049	85
925	1049	83
926	1050	82
927	1051	81
928	1052	80
929	1053	79
930	1053	78
931	1055	76
932	1056	75
933	1057	74
934	1058	73
935	1059	72
936	1060	71
937	1061	70
938	1061	68
939	1062	67
940	1063	66
941	1064	65
942	1064	64
943	1065	63
944	1066	62
945	1067	60
946	1068	59
947	1069	58
948	1070	57
949	1071	56
950	1072	55
951	1073	54
952	1074	52
953	1075	51
954	1075	50
955	1076	49
956	1077	48
957	1078	47
958	1079	46
959	1080	45
960	1081	43
961	1081	42
962	1082	41
963	1083	40
964	1084	39
965	1085	38
966	1086	37
967	1087	35
968	1087	34
969	1088	33
970	1089	32
971	1090	31
972	1090	30
973	1091	29
974	1092	28
975	1093	26
976	1094	25
977	1094	24
978	1095	23
979	1096	22
980	1097	21
981	1097	20
982	1099	19
983	1100	17
984	1101	16
985	1102	15
986	1103	14
987	1104	13
988	1105	12
989	1106	11
990	1107	10
991	1109	8
992	1110	7
993	1111	6
994	1111	5
995	1112	4
996	1113	3
997	1114	2
998	1115	1
999	1117	0
